date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:53	46625/46625	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630b1-b621%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html	(from )
22:44:55	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%225e89b834-7f%22	https://www.bootstrapdash.com/robots.txt		(from )
22:44:56	145692/145692	---MCZ	200	added ('OK')	text/css	etag:W/%225f3f98c1-2391c%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/css/materialdesignicons.min.css	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/css/materialdesignicons.min.css	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:44:57	53644/53644	---MCZ	200	added ('OK')	text/css	etag:W/%225f3f98c1-d18c%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/css/ionicons.css	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/css/ionicons.css	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:44:57	33688/33688	---MCZ	200	added ('OK')	text/css	etag:W/%225f3f98c1-8398%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:44:58	9234/9234	---MCZ	200	added ('OK')	text/css	etag:W/%225f3f98c1-2412%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/css/vendor.bundle.base.css	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/css/vendor.bundle.base.css	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:44:58	9234/9234	---MCZ	200	added ('OK')	text/css	etag:W/%225f3f98c1-2412%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/css/vendor.bundle.addons.css	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/css/vendor.bundle.addons.css	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:44:59	249184/249184	---MCZ	200	added ('OK')	text/css	etag:W/%225f3f98c1-3cd60%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/css/shared/style.css	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/css/shared/style.css	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:44:59	25315/25315	---MCZ	200	added ('OK')	text/css	etag:W/%225f3f98c1-62e3%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/css/demo_1/style.css	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/css/demo_1/style.css	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:44:59	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%225f3f98c1-10be%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/favicon.ico	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/favicon.ico	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:00	9833/9833	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-2669%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/logo.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/logo.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:01	2496/2496	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-9c0%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/logo-mini.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/logo-mini.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:01	22622/22622	---M--	200	added ('OK')	image/jpeg	etag:%225f3f98c1-585e%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face10.jpg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face10.jpg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:02	21651/21651	---M--	200	added ('OK')	image/jpeg	etag:%225f3f98c1-5493%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face12.jpg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face12.jpg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:03	19736/19736	---M--	200	added ('OK')	image/jpeg	etag:%225f3f98c1-4d18%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face1.jpg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face1.jpg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
